iter	Passed	Remaining
660	5613	2878
661	5621	2870
662	5629	2861
663	5638	2853
664	5645	2844
665	5652	2834
666	5660	2826
667	5667	2816
668	5675	2807
669	5682	2798
670	5690	2789
671	5697	2780
672	5705	2771
673	5712	2762
674	5719	2753
675	5726	2744
676	5734	2735
677	5742	2727
678	5749	2718
679	5757	2709
680	5764	2700
681	5772	2691
682	5779	2682
683	5788	2674
684	5795	2665
685	5803	2656
686	5811	2647
687	5819	2639
688	5827	2630
689	5834	2621
690	5842	2612
691	5849	2603
692	5858	2595
693	5866	2586
694	5875	2578
695	5882	2569
696	5890	2560
697	5897	2551
698	5905	2543
699	5913	2534
700	5921	2525
701	5929	2517
702	5938	2508
703	5946	2500
704	5955	2492
705	5963	2483
706	5972	2475
707	5979	2466
708	5988	2457
709	5995	2448
710	6004	2440
711	6011	2431
712	6020	2423
713	6029	2415
714	6038	2406
715	6046	2398
716	6055	2389
717	6063	2381
718	6071	2373
719	6079	2364
720	6089	2356
721	6096	2347
722	6105	2339
723	6112	2330
724	6120	2321
725	6127	2312
726	6134	2303
727	6142	2294
728	6149	2286
729	6157	2277
730	6165	2268
731	6173	2260
732	6181	2251
733	6189	2243
734	6196	2234
735	6205	2225
736	6212	2216
737	6220	2208
738	6228	2199
739	6236	2191
740	6244	2182
741	6252	2174
742	6259	2165
743	6268	2156
744	6275	2148
745	6284	2139
746	6291	2130
747	6299	2122
748	6307	2113
749	6315	2105
750	6323	2096
751	6331	2087
752	6338	2079
753	6346	2070
754	6354	2062
755	6362	2053
756	6370	2044
757	6379	2036
758	6388	2028
759	6397	2020
760	6406	2011
761	6414	2003
762	6423	1995
763	6431	1986
764	6439	1978
765	6447	1969
766	6455	1961
767	6463	1952
768	6471	1944
769	6479	1935
770	6488	1927
771	6496	1918
772	6504	1910
773	6512	1901
774	6519	1892
775	6527	1884
776	6535	1875
777	6543	1867
778	6552	1858
779	6560	1850
780	6568	1841
781	6576	1833
782	6584	1824
783	6592	1816
784	6600	1807
785	6608	1799
786	6617	1791
787	6626	1782
788	6635	1774
789	6645	1766
790	6655	1758
791	6664	1750
792	6673	1741
793	6682	1733
794	6690	1725
795	6699	1716
796	6708	1708
797	6717	1700
798	6726	1692
799	6734	1683
800	6743	1675
801	6750	1666
802	6758	1658
803	6766	1649
804	6774	1640
805	6782	1632
806	6790	1623
807	6797	1615
808	6805	1606
809	6813	1598
810	6820	1589
811	6828	1580
812	6835	1572
813	6843	1563
814	6851	1555
815	6859	1546
816	6866	1538
817	6874	1529
818	6882	1520
819	6889	1512
820	6897	1503
821	6905	1495
822	6912	1486
823	6920	1478
824	6928	1469
825	6936	1461
826	6944	1452
827	6952	1444
828	6960	1435
829	6968	1427
830	6976	1418
831	6984	1410
832	6992	1401
833	7000	1393
834	7009	1385
835	7016	1376
836	7025	1368
837	7033	1359
838	7042	1351
839	7050	1342
840	7059	1334
841	7067	1326
842	7075	1317
843	7083	1309
844	7091	1300
845	7099	1292
846	7107	1283
847	7115	1275
848	7123	1266
849	7130	1258
850	7138	1249
851	7146	1241
852	7153	1232
853	7161	1224
854	7168	1215
855	7176	1207
856	7183	1198
857	7191	1190
858	7198	1181
859	7206	1173
860	7214	1164
861	7222	1156
862	7229	1147
863	7238	1139
864	7247	1131
865	7256	1122
866	7264	1114
867	7274	1106
868	7282	1097
869	7290	1089
870	7297	1080
871	7305	1072
872	7312	1063
873	7320	1055
874	7327	1046
875	7335	1038
876	7343	1029
877	7351	1021
878	7359	1013
879	7366	1004
880	7375	996
881	7383	987
882	7391	979
883	7398	970
884	7406	962
885	7413	953
886	7421	945
887	7429	937
888	7437	928
889	7444	920
890	7452	911
891	7459	903
892	7467	894
893	7474	886
894	7482	877
895	7489	869
896	7497	860
897	7505	852
898	7512	843
899	7520	835
900	7527	827
901	7535	818
902	7542	810
903	7550	801
904	7558	793
905	7566	785
906	7574	776
907	7582	768
908	7589	759
909	7597	751
910	7606	743
911	7615	734
912	7623	726
913	7630	717
914	7638	709
915	7645	701
916	7653	692
917	7660	684
918	7668	675
919	7675	667
920	7683	659
921	7690	650
922	7698	642
923	7706	633
924	7713	625
925	7721	617
926	7728	608
927	7735	600
928	7742	591
929	7750	583
930	7758	574
931	7766	566
932	7773	558
933	7781	549
934	7788	541
935	7796	533
936	7803	524
937	7811	516
938	7819	507
939	7826	499
940	7834	491
941	7841	482
942	7849	474
943	7856	466
944	7864	457
945	7871	449
946	7879	440
947	7887	432
948	7894	424
949	7901	415
950	7908	407
951	7917	399
952	7924	390
953	7933	382
954	7941	374
955	7949	365
956	7957	357
957	7965	349
958	7973	340
959	7980	332
960	7988	324
961	7996	315
962	8004	307
963	8013	299
964	8020	290
965	8029	282
966	8036	274
967	8044	265
968	8052	257
969	8060	249
970	8068	240
971	8076	232
972	8084	224
973	8092	216
974	8099	207
975	8106	199
976	8114	191
977	8121	182
978	8129	174
979	8136	166
980	8144	157
981	8151	149
982	8159	141
983	8166	132
984	8174	124
985	8182	116
986	8190	107
987	8198	99
988	8206	91
989	8214	82
990	8221	74
991	8230	66
992	8238	58
993	8247	49
994	8255	41
995	8263	33
996	8271	24
997	8280	16
998	8289	8
999	8297	0
